,Position,Length,Width,Xc,Yc,Xt1,Yt1,Xt2,Yt2,Volume,Strain,date,Nucl Volume,NC,Intensity
11,12,10.31,4.69,51.0,71.0,78.99430120647887,55.3310339202866,23.069610194975382,87.06301991656271,122.64,JL396,2025-05-22,8.421,6.866438356164382,256.38800000000015
12,13,11.81,4.19,85.0,65.0,117.94144181512428,49.23824562066957,52.796995066728414,83.48968439111272,130.81,JL396,2025-05-22,9.55,7.300665086767068,307.76200000000017
13,14,12.26,3.84,59.0,75.0,90.636798830549,54.0816919026173,25.69810351740562,94.5194941552958,131.17,JL396,2025-05-22,9.309,7.0968971563619725,304.69899999999984
14,15,13.51,3.86,66.0,88.0,103.57007876842286,68.57516017818185,29.568645071268858,108.53261018147565,149.37,JL396,2025-05-22,10.568,7.075048537189529,277.78700000000026
15,16,12.14,3.9,92.0,53.0,125.77591395653955,35.27720201229654,59.00440304341188,71.15484589226824,131.22,JL396,2025-05-22,10.097,7.694711172077427,229.7130000000002
16,17,11.17,4.1,66.0,70.0,94.301105957708,50.46431663777542,37.34246615151932,90.6364879934398,115.76,JL396,2025-05-22,8.611,7.438666205943331,362.4369999999999
17,18,12.17,4.3,79.0,117.0,113.01365132236566,100.51283431382008,45.32215873960365,135.0651400533489,141.06,JL396,2025-05-22,10.497,7.441514249255636,315.67499999999995
18,19,,,,,,,,,,JL396,2025-05-22,NaN,,
19,20,13.2,3.87,90.0,90.0,124.43760851189984,67.90638783720925,54.63447346634058,111.31563037622874,149.8,JL396,2025-05-22,10.182,6.797062750333778,270.83699999999976
20,21,11.59,4.27,48.0,78.0,81.80297355883647,65.35458473618408,14.432280022583427,91.59348052934337,133.11,JL396,2025-05-22,10.109,7.594470738486965,210.45000000000005
21,22,11.24,4.02,75.0,81.0,104.9341873865164,61.98469066765802,45.525767547495825,99.19557149881638,118.91,JL396,2025-05-22,8.694,7.311411992263057,329.8259999999998
22,23,13.46,4.11,70.0,115.0,112.47206669441356,114.8947454258708,28.57620062899501,115.72760623858404,147.17,JL396,2025-05-22,10.851,7.3731059319154735,253.32399999999984
23,24,11.25,4.14,91.0,119.0,119.62015799475562,99.8426366654299,60.63070778080533,137.8989733711072,123.72,JL396,2025-05-22,10.777,8.710798577432913,233.54999999999973
24,25,10.89,3.97,49.0,110.0,77.45947660816697,92.02797203115968,18.890073297325166,126.37960948575495,114.77,JL396,2025-05-22,9.407,8.196392785571142,290.67499999999995
25,26,10.01,4.21,101.0,113.0,126.8134999110964,95.77145442893053,74.61616829935544,130.14715184169506,109.31,JL396,2025-05-22,8.513,7.787942548714664,157.23800000000006
26,27,12.29,3.94,95.0,105.0,131.271357436879,93.67040131192698,58.257456234166234,117.1621068941214,132.43,JL396,2025-05-22,9.65,7.286868534320018,220.32500000000027
27,28,12.1,3.94,64.0,93.0,95.33255551130014,72.6815640581483,31.638670975743757,113.21968282026172,126.59,JL396,2025-05-22,10.074,7.957974563551623,337.3259999999998
28,29,11.36,4.02,62.0,104.0,87.4621013732413,79.3299294558136,35.19666776165391,127.23749096120387,121.01,JL396,2025-05-22,10.51,8.685232625402858,117.61200000000008
29,30,10.14,4.14,90.0,78.0,67.92546226545458,54.889052949895905,112.38380527948816,99.9484108730458,108.86,JL396,2025-05-22,8.492,7.800845122175272,278.8499999999999
30,31,12.1,4.05,71.0,84.0,91.5479435204909,51.9664977426448,49.45915916501818,114.40546179137414,129.25,JL396,2025-05-22,9.517,7.363249516441004,309.17499999999995
31,32,12.47,4.43,74.0,86.0,109.63189917769331,71.87467448400409,38.097707205984655,102.46387811788009,144.56,JL396,2025-05-22,10.653,7.369258439402325,185.81200000000013
32,33,,,,,,,,,,JL396,2025-05-22,NaN,,
33,34,,,,,,,,,,JL396,2025-05-22,NaN,,
34,35,10.35,4.11,67.0,77.0,92.70207865396588,57.78915545660219,40.74341691430815,96.17479691566638,115.07,JL396,2025-05-22,9.04,7.856087598852872,362.7239999999997
35,36,11.81,3.95,83.0,79.0,109.04259042247584,52.92987537731598,54.794230881530154,102.52186552810838,122.9,JL396,2025-05-22,9.729,7.916192026037427,274.6999999999998
36,37,10.39,4.11,63.0,59.0,88.31697322236103,39.508849760060514,37.05276157459784,79.14495204236549,112.76,JL396,2025-05-22,8.703,7.718162468960624,213.75
37,38,11.58,3.76,97.0,60.0,126.38837535484538,41.11031217646813,65.69821478003047,80.21970247346948,123.8,JL396,2025-05-22,9.685,7.823101777059774,292.78700000000026
38,39,11.61,4.24,98.0,85.0,121.63548756896051,57.319395304415835,75.96120348109275,113.62312318331163,130.13,JL396,2025-05-22,10.409,7.998924152770308,158.42499999999973
39,40,11.23,4.06,63.0,68.0,88.8025367002382,44.16947007116396,36.53676976648418,90.73436679419454,116.93,JL396,2025-05-22,9.203,7.870520824424869,278.3249999999998
40,41,12.19,4.02,76.0,91.0,83.83228728724043,53.89353635778452,69.51258430734907,128.4304809327246,124.58,JL396,2025-05-22,10.021,8.04382725959223,333.7370000000001
41,42,12.17,4.06,68.0,78.0,98.50372894607246,55.84545373238396,39.31604777233606,103.20005643662095,129.03,JL396,2025-05-22,10.031,7.774161047818337,283.63699999999994
